id	qus	ans
1	لالا عاادي😂😂😂😂🤚	<Media omitted>
2	المشكله انا م شفت الاستوري بتاااع نصوووفه😂😂😂😂🤚	ابلعا في حنانك بس يا دسيس
3	حضرتووو ولا لسع	تشاو جاو
4	ياااخ نزل من اكوام	لسع
5	<Media omitted>	<Media omitted>
6	الزبير ده لي هسع حي😂😂🤚	😂
7	دي خاالتي كسم😡😡😡🤬🤬	You deleted this message
8	سلم عليهوو يااخ	صابيها
9	ظااابط🤚	<Media omitted>
10	كدا اديني رقموو😂😂🤚	معليش يا دسيس
11	الله يسوسوك😂😂😂🔪🔪🔪	اب راس هو قاعد لافي من قروب لي قروب 😂
12	🤚	<Media omitted>
13	اااي عشاان كدا تااني شووف كويس	<Media omitted>
14	<Media omitted>	زبير.vcf (file attached)
15	االحل انو م تنبرش بس😂😂😂😂🤚	الله يديني العافيه بس 😂
16	🤣🤣🤣🤣🤣🤣🤣🤚مسكين والله	<Media omitted>
17	قلت لي قااعد تشااهد باي ثغرة	عشان كدا الواحد يقفل الواتس ويرتاح😂
18	ايوا🤣🤣🤣🤣🤚	انا ما قاعد انبرش اصلا ده جسه ليها بس
19	اااي تخطي شغاال لكن الشبكه كعبه	قاعد اجرب اشغلو 🙂لانو احتمال يشتغل تخطي
20	شغاال ااي لكن برفع السرعه شويه بس	كيف شغال والشبكه كعبه 😂
21	يعني ظااابط صح	<Media omitted>
22	بي سوداني صح	<Media omitted>
23	لو بنزل والسرعه ظاابطه بشترك انا	<Media omitted>
24	يعني م عندك ملفات تخطي🤦🏾‍♂🔪🔪	Mtn
25	ايوا جرب وادينا الزييت😂😂😂🤚	😂
26	م عاارف والله	خلي القها اول
27	دسيس	<Media omitted>
28	ياااخ ارقامي كتيرة م لقيتوو	<Media omitted>
29	اها م لقيت ملف تخطي😂😂	عندك رقم بنتهي بي
30	😂	كدا شوف
31	😂😂😂🤦🏾‍♂	اه وين ياع 😂😂
32	يااخ جيب الرقم كلوو	اتب في البحث في جنات الاتصال
33	م عندي رقم ببدا بي	اكتب*
34	م جااااني	ببداء بي
35	يب	انت شوف يااا زول
36	ديل كسمااات يااااخ🤦🏾‍♂	اكتب البدايه ولو جاك طابقو مع النهايه
37	للدين	تمام
38	تكساس	الامر جاطت
39	اها يووم الجمعه قلنا نتلاقى في شاارع النيل كيف وكيف	انت وين هنا ولا تكساس
40	الحظر ده احدي السااعه  بعداك ببدا🌚	تما
41	ظااايك	م
42	ط	مع الحظر ده 💔🙂
43	ب	نشوف
44	<Media omitted>	<Media omitted>
45	<Media omitted>	<Media omitted>
46	مرتااح بس😂😂🤚	شلعا كدا مالو😂😂
47	الليلة	نتلاقا متين
48	العصر كدا	في اي زمن
49	ظاابط	قدام
50	اااي	اتصل لي بعدين
51	كيف🙄	<Media omitted>
52	ياااخ بالزووق بس😂😂😂🤚	دي انصاف
53	😂😂😂🤚	انت ماسوره ساي 😂
54	وت	ركبتني ماسوره
55	<Media omitted>	😂😂
56	معرص😂😂😂😂🔪🔪🔪🔪	.
57	😂😂😂😂🔪🔪🔪🔪🔪	<Media omitted>
58	الله يقتلك😂😂🔪🔪🔪🔪🔪	أكل قرض وقول بسم الله وشوف نفسك في المرايه
59	هوووي انا زااتي داااير صورة مرسوومة زي دي	<Media omitted>
60	دسيس🌚🤚	كدا شوفني بجاي نشوفك
61	تفصل😂😂😂🤚	<Media omitted>
62	م زعلت😂😂😂🤚	بنصحك بالقرض والليمون بالشطه 😂👌
63	م ممكن انا انزعل زااات	<Media omitted>
64	نفهم شنو😂😂🤚	لالا بعزك يا فرده 😂😂👌
65	ااااي😂😂😂🤚	انا قايلك زعلت
66	😂😂😂😂🤚عاااملين فيها شيوخ وكدا	<Media omitted>
67	<Media omitted>	كان نفسي اشوفك زعلان 😂😂
68	وووووااااههههييي😂😂😂😂😂😂😂🤚	<Media omitted>
69	<Media omitted>	<Media omitted>
70	معقوولة بس انا اعمل كدا😂😂😂🤚	تموت وانت ما بتزعل 😂😂
71	<Media omitted>	اجلد
72	لسع	ما كدا لكن الوضع مظلم
73	معنااها نحنا جاايه في الطريق🤣🤣🤚	<Media omitted>
74	جد😂😂	<Media omitted>
75	هوووي جيب الزيييت	<Media omitted>
76	اااي صح	خليك بارد 😂😂
77	انت شغاال بي اريبا صح	ما تديها الاسكرين
78	😂😂😂🤚	قاليك تمبوشي 😂😂😂
79	كدا جيب الرابط بتااع الدرويد	<Media omitted>
80	واديني الموقع القاعد تعمل منوو حسااباات	كهربا وصل🐸💔
81	اااي عاارف جيب النسخه الشغال بيها انت	عندنا وصل
82	قداااام🤚	😂😂
83	مسحتها😂😂🤚	اه وين ياه
84	ارح التلي😂😂🤚	هو  كل حساب بديك  ميغا
85	جيب الضبط بعد ده😂😂🤚	اريبا الحب يااخ 😴
86	ارح	في نسخه واحده بس شغاله 😂😂👌
87	تم	باقي الاصدارات قفلوها 😂
88	قلت اشغلوو بكرة لانو انا هسع مشترك سوداني	ارح التلغرام عشان تنزلو مباشر
89	اها وكيف كيف😂😂🤚	لو اديتك الاعدادات ما تديها لزول يا دسيس لانها كدا بتقفل زي الفاتت  انا داير نحافظ عليها لاطول فتره  شهور او سنوات 🙋🏽‍♂️👌
90	🌚🤚	عندك ببجي
91	قااعد اخلط ااااااي😂😂😂🤚	الله لا جاب باقيك 😂
92	ي زوول ماشي انووم انا	تلي انا فيهو  ساعه 😂
93	مع صوووفه والبااقي م بتعرفهم	ارح هناك بدك بي الاسكرينات
94	انت منو اصلا😂😂😂🤚	امش هناك
95	خااص ي زوول	اشتغل معاك
96	هووي الدرويد م داير يشتغل معااي	🌚
97	كدا اعمل اسكرين لي حقك وهو شغال	زيت زيت
98	<Media omitted>	<Media omitted>
99	.	قاعد تخاط يا فاره😂
100	اصلا القص حااصل😂😂😂🤚	ارح القروب نولعا
101	امس ربط معااي لكن م برفع بياااناات	مع منو🌚
102	😂😂😂😂🤚	بتقولي يا رجلي وتخلط معاك😂😂😂😂💔
103	ااااي	في قروب ولا خاص كشري
104	ااااي	<Media omitted>
105	😂😂😂😂🤚	دييم يالراسطه
106	الصورة دسيسة بس😂😂😂	اقنعتني
107	🌚	دقيقه
108	🚶🏾🚶🏾🚶🏾	🐸💔
109	هوووي الجديد شنو	Mtn
110	<Media omitted>	دخلت الحساب
111	ظااابط😂😂😂🤚	<Media omitted>
112	😂😂😂	مالك😂😂
113	😂😂😂😂😂🔪🔪🔪🔪	<Media omitted>
114	سيب التعرصه	<Media omitted>
115	دسيس	<Media omitted>
116	جدااام	كيف بلاي 😂
117	ارح	طلع م** لو ما طلع ظابط الا نحرق اي حاجه 😂
118	كويس	<Media omitted>
119	😂😂😂🤚	<Media omitted>
120	شفت ي مااان😂😂🤚	<Media omitted>
121	<Media omitted>	👂
122	فديوو بتااع شنو	لحدي بعدين نطاقش
123	ايوا😂😂	ارح لي نفوشه
124	<Media omitted>	سوي قروب
125	اكتب ليدو يلا	🤣🤣💔🌚
126	يااه	والله تفكر يادسيس
127	ااااي دي هي	طلعت لي اسطوره عديل 🤣🌚
128	ظاابط	<Media omitted>
